label,text
0,final verdict : you 've seen it all before .
0,lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .
0,and it 's a lousy one at that .
0,"without shakespeare 's eloquent language , the update is dreary and sluggish ."
0,"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something ."
0,an ugly-duckling tale so hideously and clumsily told it feels accidental .
0,becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .
0,this pathetic junk is barely an hour long .
0,the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .
0,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni ."
0,"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ..."
0,the master of disguise is awful .
0,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling ."
0,the most surprising thing about this film is that they are actually releasing it into theaters .
0,"no , i hate it ."
0,"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables ."
0,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment ."
0,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !"
0,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings ."
0,as pedestrian as they come .
0,"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness ."
0,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be ."
0,there 's not one decent performance from the cast and not one clever line of dialogue .
0,"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single ."
0,"offers no new insight on the matter , nor do its characters exactly spring to life ."
0,"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard ."
0,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ."
0,"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie ."
0,"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical ."
0,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction ."
0,"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament ."
0,like a can of 2-day old coke .
0,"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't ."
0,it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .
0,nothing about this movie works .
0,"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?"
0,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .
0,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were ."
0,"a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat ."
0,but the movie that does n't really deliver for country music fans or for family audiences
0,"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half ."
0,amazingly lame .
0,not even felinni would know what to make of this italian freakshow .
0,"a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy ."
0,"enough said , except : film overboard !"
0,... a weak and ineffective ghost story without a conclusion or pay off .
0,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands .
0,it 's not a motion picture ; it 's an utterly static picture .
0,it 's probably not easy to make such a worthless film ...
0,"i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes ."
0,"in the end , the movie bogs down in insignificance , saying nothing about kennedy 's assassination and revealing nothing about the pathology it pretends to investigate ."
0,an infuriating film .
0,"seagal ran out of movies years ago , and this is just the proof ."
0,"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence ."
0,"while the story is better-focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle ."
0,"the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything ."
0,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .
0,that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .
0,it 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic .
0,you may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .
0,the movie is a desperate miscalculation .
0,what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .
0,"once one experiences mr. haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else ."
0,most of the storylines feel like time fillers between surf shots .
0,what might have been acceptable on the printed page of iles ' book does not translate well to the screen .
0,"mckay shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative ."
0,"what we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance ."
0,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1\/2 - hour running time ."
0,"cold , sterile and lacking any color or warmth ."
0,"a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that ."
0,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .
0,there 's nothing to gain from watching they .
0,stay away .
0,"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie ."
0,get out your pooper-scoopers .
0,... overly melodramatic ...
0,"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant ."
0,highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .
0,"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ."
0,a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .
0,there 's not a comedic moment in this romantic comedy .
0,marinated in clichés and mawkish dialogue .
0,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch ."
0,a rumor of angels does n't just slip -- it avalanches into forced fuzziness .
0,never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .
0,"collateral damage is trash , but it earns extra points by acting as if it were n't ."
0,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ."
0,this franchise has not spawned a single good film .
0,makes 98 minutes feel like three hours .
0,an almost unbearably morbid love story .
0,a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia
0,"in other words , it 's badder than bad ."
0,"a tired , predictable , bordering on offensive , waste of time , money and celluloid ."
0,there 's no disguising this as one of the worst films of the summer .
0,a lame comedy .
0,bad movie .
0,the film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .
0,an undistinguished attempt to make a classic theater piece cinematic .
0,it 's pauly shore awful .
0,"an inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more ."
0,"to be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for god 's sake !"
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,you expect more from director michael apted -lrb- enigma -rrb- and screenwriter nicholas kazan -lrb- reversal of fortune -rrb- than this cliche pileup .
0,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .
0,what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .
0,"a dull , inconsistent , dishonest female bonding picture ."
