label,original,augmented,method
0,final verdict : you 've seen it all before .,Final verdict: you've seen everything before.,back_translation
0,lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,lacks the inspiration of the original and has a swollen plot that extends the running time about 10 minutes after the interest of a child and the patience of an adult.,back_translation
0,and it 's a lousy one at that .,And it's a bad one.,back_translation
0,"without shakespeare 's eloquent language , the update is dreary and sluggish .","Without Shakespeare's eloquent language, the update is sad and lazy.",back_translation
0,"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .","... feels as if - lrb- there is -rrb- a choking leash around your neck for the director nick cassives can give it a good, yank hard every time he wants you to feel something.",back_translation
0,an ugly-duckling tale so hideously and clumsily told it feels accidental .,A ugly and ugly tale so hideously and clumsyly says it feels accidental.,back_translation
0,becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,becomes a bit of a mishmash: a tear that doesn't do and a thriller that doesn't.,back_translation
0,this pathetic junk is barely an hour long .,This pathetic piece of shit lasts barely an hour.,back_translation
0,the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,The scenes of the irwins are fascinating; the film as a whole is a cheap junk and an insult to their efforts of death.,back_translation
0,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",It's a scary vanity movie that no doubt pays what the miramax debt felt they owed to benigni.,back_translation
0,"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...","I've never seen - lrb- a remake -rrb- do anything so gastric-turning like the way Adam Sandler new movie rapes, looting and incinerating capra classic frank ...",back_translation
0,the master of disguise is awful .,The master of disguise is terrible.,back_translation
0,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .","the three ducts produce adequate performance, but what lacks this material is any depth of sensation.",back_translation
0,the most surprising thing about this film is that they are actually releasing it into theaters .,The most surprising thing about this movie is that they actually release it in theaters.,back_translation
0,"no , i hate it .","No, I hate it.",back_translation
0,"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .","The film is like sitting in a downtown coffee shop, overheard a bunch of late-twenty-some typical things taunting on nothing, and desperately wish you could change tables.",back_translation
0,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .","If you are over 25 years old, have an iq over 90, and have a driver's license, you should be able to find better entertainment.",back_translation
0,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !","... a plot that 'is as grumy as the two-day-old porridge... the filmmakers' patons, sad to say, were on all this '`unbearable'' project!",back_translation
0,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .","a lot of effort and intelligence are exposed but in execution it is all embarrassing, static, and lifeless rumbling.",back_translation
0,as pedestrian as they come .,as pedestrians as they come.,back_translation
0,"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .","Partly sunk too indulgence of the scene-chicken, the teeth gnashing the actor.",back_translation
0,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .","From time to time, a movie comes with us to remind us how really bad a movie can be.",back_translation
0,there 's not one decent performance from the cast and not one clever line of dialogue .,There is not a decent performance of distribution and not a smart line of dialogue.,back_translation
0,"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .","supersex, sometimes overworked comedy\/drama that offers little information about the experience of being forty, female and single.",back_translation
0,"offers no new insight on the matter , nor do its characters exactly spring to life .","does not offer any new insight on the issue, nor his characters exactly come out of life.",back_translation
