original,augmented,method
the entire movie is filled with deja vu moments .,the entire film is filled with already seen moments .,back_translation
"um , no. .",That's right.,back_translation
"eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .","eccentric enough to avoid doldrums, caruso 's self-conscious beginning is also eminently forgotten.",back_translation
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .,one of the -lrb- jaglom's -rrb- best efforts -- a wry movie and sometimes bitter about love.,back_translation
"you end up simply admiring this bit or that , this performance or that .","You end up simply admiring this bit or that, that performance or that.",back_translation
"analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .","analyze that regurgitates and waters most of the successes of the previous film, with some new swings launched in .",back_translation
"there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .","There is a neat twist, subtly rendered, that could have wrapped things up at 80 minutes, but kang tacks on three or four other endings.",back_translation
"what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .","With the incessant lounge music played in the background of the film, you might be wrong to like Liza for a song by Adam's sanderchanukah.",back_translation
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .","You could say that tykwer has done everything the sky allows, if you wanted to do as anti-kieslowski a pun as possible.",back_translation
"many shallower movies these days seem too long , but this one is egregiously short .","A lot of shallower films these days seem too long, but this one is obviously short.",back_translation
a portrait of an artist .,a portrait of an artist.,back_translation
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .","Again, the intelligence of gay audiences has been grossly underestimated, and a fleshly plot and well-developed characters have been sacrificed for skin and flash that barely crack.",back_translation
"with a confrontational stance , todd solondz takes aim on political correctness and suburban families .","with a confrontational position, todd solondz aims at political correctness and suburban families.",back_translation
"many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .","many effective horror elements are amortized by familiarity, -lrb- yet -rrb- are valid.",back_translation
"here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .","Polanski looks back at those places he saw in childhood, and captures them by releasing them from the artifact, and showing them their hearts in a draconian manner.",back_translation
he may have meant the internet short saving ryan 's privates .,Maybe it meant the Internet short save Ryan's privates.,back_translation
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,the film plays the most obvious force of the cartoon of the snazzness while neglecting its less visible writing force.,back_translation
"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .","a perfectly acceptable, perfectly bland, acted with skill but in no case scary horror film.",back_translation
this is amusing for about three minutes .,It's fun for about three minutes.,back_translation
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst, the film is rather deviating; pity is that it rarely reaches its best.",back_translation
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,greengrass -lrb- work from don mullan's script -rrb- Forgoes the broader socio-political picture of the situation in Northern Ireland in favor of an approach that throws one into the thick pulsating of a really scary situation.,back_translation
"jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .","Jackson tries to spin the plates as best he can, but all the back and forth turns don't help but become a little tedious -- even with the stunning scenery and naughty vars over there to distract you from the ricochet.",back_translation
but ` why ? ',But why?,back_translation
igby goes down is one of those movies .,igby descends is one of those movies.,back_translation
a bit too derivative to stand on its own as the psychological thriller it purports to be .,A little too derived to stand alone like the psychological thriller he claims to be.,back_translation
"a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .","a spirit, sharp, wildly dissatisfied but bad look at the ins and outs of modern cinematographic creation.",back_translation
the name says it all .,The name says everything.,back_translation
it 's been 20 years since 48 hrs .,It's been 20 years for 48 hours.,back_translation
"funny , though .","It's funny, though.",back_translation
"unofficially , national lampoon 's van wilder is son of animal house .","Informally, the national lampon 's van wilder is the son of a pet house.",back_translation
"it never is , not fully .","He's never, not completely.",back_translation
it 's just a little too self-satisfied .,It's just a little too satisfied.,back_translation
post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .,post 9\/11 the philosophical message of ``personal freedom first '' may not be as pleasant as expected.,back_translation
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .,The plot is dark in a comedy cemetery before Janice comes to the rescue in the final reel.,back_translation
"it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .","It is the showcase of an actor who achieves his main objective without the use of special effects, but rather by focusing on the characters - including the supports.",back_translation
"same song , second verse , coulda been better , but it coulda been worse .","same song, second verse, could be better, but it could be worse.",back_translation
that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .,"that the Chuck Norris ""grape gag"" occurs about 7 times during wind blowers is a good indication of the gravity of the film is.",back_translation
"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .","Frida is certainly not a disaster, but isn't it also the fans of kahlo movie frida have been looking for.",back_translation
warmed-over hash .,hot-over hash.,back_translation
really dumb but occasionally really funny .,really stupid but sometimes very funny.,back_translation
"largely , this is a movie that also does it by the numbers .","largely, it is a film that also does it by numbers.",back_translation
frank mcklusky c.i. is that movie !,Frank Mcklusky c.i. is this movie!,back_translation
"plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .","Plods along, less twisted humor and stunning visuals that have miiked... a cult hero.",back_translation
and a very rainy day .,And a very rainy day.,back_translation
the film has a childlike quality about it .,The film has a childish quality about it.,back_translation
a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .,a very funny fifteen minutes short stretched beyond its limits to fill a film almost long term.,back_translation
gone are the flamboyant mannerisms that are the trademark of several of his performances .,The flamboyant mannerisms that are the mark of many of his performances have gone away.,back_translation
